,citing author name,citing paper title,cited paper title,affiliation,latitude,longitude,county,city,state,country
155,Tianyu Qi,Robin: An Efficient Hierarchical Federated Learning Framework Via a Learning-Based Synchronization Scheme,Group formation and sampling in group-based hierarchical federated learning,Sun Yat-sen University,23.0996034,113.2923509,,Haizhu District,Guangdong,China
156,Tianzhe Xiao,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Huazhong University of Science,30.5202172,114.4118463,,Hongshan District,Hubei,China
157,Tianzhe Xiao,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Huazhong University of Science and Technology,30.5202172,114.4118463,,Hongshan District,Hubei,China
158,Tianzhe Xiao,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Technology,42.3582529,-71.0966272,Middlesex County,Cambridge,Massachusetts,United States
159,Wenchao Xia ( 夏文超 ),Client scheduling for multiserver federated learning in industrial IoT with unreliable communications,Participant selection for hierarchical federated learning in edge clouds,Nanjing University of Posts,32.1152717,118.9259566,,Qixia District,Jiangsu,China
160,Wenchao Xia ( 夏文超 ),Client scheduling for multiserver federated learning in industrial IoT with unreliable communications,Participant selection for hierarchical federated learning in edge clouds,Nanjing University of Posts and Telecommunications,32.1152717,118.9259566,,Qixia District,Jiangsu,China
161,Wenchao Xia ( 夏文超 ),Client scheduling for multiserver federated learning in industrial IoT with unreliable communications,Participant selection for hierarchical federated learning in edge clouds,Telecommunications,-30.405844,27.7075546,,,Quthing District,Lesotho
162,Wenchao Xu,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Hong Kong University of Science,22.3358031,114.2659088,,Sai Kung District,Hong Kong,China
163,Wenchao Xu,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Hong Kong University of Science and Technology,22.8916128,113.4790189,,Nansha District,Guangdong,China
164,Wenchao Xu,Unleashing the power of continual learning on non-centralized devices: A survey,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Technology,42.3582529,-71.0966272,Middlesex County,Cambridge,Massachusetts,United States
165,Xianbin Wang,HEART: Achieving Timely Multi-Model Training for Vehicle-Edge-Cloud-Integrated Hierarchical Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,"IEEE Fellow, Tier-1 CRC, Distinguished University Professor, Western University, Canada",,,,,,
166,Xianbin Wang,HEART: Achieving Timely Multi-Model Training for Vehicle-Edge-Cloud-Integrated Hierarchical Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,Western University,32.7139413,-117.0372503,San Diego County,San Diego,California,United States
167,Xiaodong Fu,RHFL: a robust method to defend against poisoning attacks for heterogeneous hierarchical federated learning: S. Zhao et al.,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Kunming University of Science,24.8552956,102.8552716,,Chenggong District,Yunnan,China
168,Xiaodong Fu,RHFL: a robust method to defend against poisoning attacks for heterogeneous hierarchical federated learning: S. Zhao et al.,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Kunming University of Science and Technology,24.8552956,102.8552716,,Chenggong District,Yunnan,China
169,Xiaodong Fu,RHFL: a robust method to defend against poisoning attacks for heterogeneous hierarchical federated learning: S. Zhao et al.,"Group-based hierarchical federated learning: Convergence, group formation, and sampling",Technology,42.3582529,-71.0966272,Middlesex County,Cambridge,Massachusetts,United States
170,Xiaohong Yang,HEART: Achieving Timely Multi-Model Training for Vehicle-Edge-Cloud-Integrated Hierarchical Federated Learning,Joint participant selection and learning scheduling for multi-model federated edge learning,Xiamen University,24.4399419,118.0930178,Xiamen,Xiamen City,Fujian,China
